　どこで	生れたか
面倒だから、	仕ろうか、
口嘴が	尖がって
奴でないには	極っている
深入りを	して
左向を	した
次のも	云った
奴は	叫んだ
吾輩でも	看過出来ない
邸内で	侮辱されたと
体面に	係わる
退却は	出来ない
諺にも	云うから
度胸を	据えて、
知らん顔を	して
肝癪に	障る
幅が	あったら
事先鋒を	去る
風が	吹いた
これは	しくじったと
背を	丸くして、
俗人に	わからぬごとく、
吾輩は	取り扱っていた
猫なら	やれば
勘公と	あって
実業家が	圧倒しようと
機を	見るに
度を	過ごすと
取り付きで	照り付けられた
毛穴から	染み出す
背中が	むずむずする
汗で	むずむずするのと
口の	届く
時には	出来兼ねる
猫なで声で——猫なで声は	出す
吾輩を	して
毛中にのみと	号する
眼に	入るか
手を	翻せば
二千疋で	出来た
人間世界を通じて	行われる
利益に	なる
——人間の	取り扱が
方法によって	やるより
椽側から	降りかけたが、
松には	ある
一たび、	くっ付けよう
しかのみならず	こびりつくが
十本	やられたなと
淡泊を	愛する
天下の	美猫といえども
両眼から	乗じて
ところ	でき
あたりへ	行って
頓痴奇を	しては
今において	一工夫しておかんと
足を	折って
主人は	見える
男に	与えるなら
これより	なる
ひま潰しに	案出した
人間の	作った
人間が	設備した
主人が	すまして
容子を	見に
上で	付いたら、
ここまで	定めた
　横町を	折れると
吾輩は	忍び込んだ
裏口から	忍び込むのを
人は	きまっている
五ページに	出ているそうだ
遺書に	して
猫だから	ある
方に	割って
岡のようかと	聞く
米を	食ったり、
行き当りを	見ると
向側で	する
声の	発する
ものが	積まれるのは
南側は	見える
地面を	去る
身を	躍らすと
ものを	食い、
洗湯界に	暮すなら
死目に	逢わなくてもいいから、
世界広しといえども	あるまい
これを	するを
中に	騒いでいる
歴史を	繙けば——
頃	制定した
今を	去る
模写、	買い込んで、
開校式を	やると
考に	よると
皮を	着た
人間として	つけないのは
本体を	失している
模写模型に	せよ
妾等は	申すと
職員共は	話せない
米舂にも	なれん
呉服屋へ	行って
失礼が	あっては
式を	すましたと
近頃は	あるが
今日に	至るまで
裸体は	做れていたのだから、
日本でさえ	なる
着物を	きる
みんなが	きれば
動物と	なった
それだから	取り扱っていいのである
猫に	劣る
獣と	見
礼服を	見たかと
ところに	よると
十四世紀頃までは	おった
それが	転化してきたかは
人ぞ	知る、
歴史は	考えている
これで	考えても
日中でも	出していて
ものなら	するがいい、
西洋人が	やらないから、
不合理	極まる
因縁を	尋ねると
西洋人が	きるから、
無理でも	馬鹿気ていても
ものには	捲かれろ、
気が	利かんでも
その通りだが	する
人間かと	云うくらい
歴史は	申したいくらいだ
衣服を	着けない
化物に	邂逅したようだ
化物でも	なれば、
昔し	抛り出した
人間でも	生れる
本性が	安んずるものならば、
一人が	云うには
骨を	折った
おれは	目につくようにしたい
それについては	見たい
十年間	考えて
猿股を	発明するのに
デカルトは	懸ったそうだ
すべて	考え出す
さあ猿股が	出来ると
車夫が	つけて
勢力は	なった
後に	来るのが
癖にと	起した
化物共が	衒い
皆	勝ちたい
心理から	して
自然は	忌むごとく、
平等を	嫌って
名称を	甘んじても
連中を	見れば
人口を	挙げて
世界が	なった
着物を	つけて
赤裸は	立ててくる
点から	見ても
今	見下した
吾輩が	云ったのは
吾輩は	有する
何にから	記述していいか
化物の	やる
湯槽から	述べよう
湯槽だか	分らないが、
三尺くらい、	這入っている
何でも	号するのだそうで、
ただ	濁っているのではない
膏ぎって、	濁っている
一度しか	易えないのだそうだ
由だが	申されない
天水桶を	攪き混ぜた
大分骨が	折れる
方に、	いる
立ったまま、	かけている
点において	間然する
化物は	とるからね
熱心に	加える
方を	指す
肺だよ」	思った」と
ところへ	生やした
からだに	付いていた
鉄気の	ある
頭の	禿げた
双方共頭だけ	浮かしているのみだ
年を	とっては
人間も	廻っちゃ
元気が	ありゃ
病気を	しないだけさ
人間は	受け合う
御維新前牛込に	云う
百までは	覚えていましたが
わしの	知っていたのが
事に	よると
髯を	生やしている
飛び込んで来たのは	ほり付けている
大刀を	振り翳して
重太郎先生	見える
温るいや」と	云った
一人	続いて
重太郎は	云ったが、
もんか	好かれねえ、
低いんじゃねえ、	えんだ
それだから	信用されねえんだね」
あれで	あるつもりだから、
ちとら	生れた
あれだけに	なったよ」
もんか	好かれねえ
交際わねえからね」と	攻撃する
天水桶は	見ると
悠々閑々たる物で、	あるが
上に、	見渡すと、
可哀そうに	あけて
湯銭を	活用しようと
一軒	置いて
薬湯は	利きません
国なぞでは	這入ります」と
湯は	利くんでしょう」と
ものに	利きますよ
何でも	いいてえんだからね
形とを	兼ね得たる
丈夫そうに	なれそうな
「薬を	入れ立てより、
今日等は	這入り頃ですよ」と
これは	肥りだろう
どこからか	知らないが
後などは	寝ると、
方は	見渡すと、
中に	驚ろくべきのは
これは	見える
坊主が	向いて
これは	務めるのであろう
三介も	いる
風邪を	引いたと
足を	見ると
方では	している
何だろうと	聞いて
外国から	渡った
昔は	斬り合いばかりさ
外国は	出来たんだ
なんでも	渡った
むすこが	攻めたんだが
——	云ったっけ
——	云う使だ
——	見せたんだがね
女郎に	出来た
国へ	帰って
何を	云うのか
後ろに	した
何かで	苦しんでいると
横に	喋舌ってるのは
背中が	見える
中から	押し込んだように
左右に	並んでいる
十六むさしが	爛れて
順々に	書いてくると、
これは	見われた
坊主は	存じます
緩くり——	御あったまり下さい
——番頭さんや、	上げてな」と
番頭さんは	答えた
あれでなくては	出来ないよ」と
吾輩は	した
爺さんは	出す
小供は	出す
これは」と	感嘆した
ものだから	転じて、
近江屋へ	這入った
所を	破っての
何も	取らずに
御巡りさんか	見えた
あなた方は、	ならんかの」と
方へ	取られて
声の	図抜けて
これは	つけた
彼は	わかる
彼は	始めたのである
小桶に	這入って
怒号を	判断する
うちに	知れん
そのつもりで	やった
書生は	答えた
これは	分っているはずだ
怒号は	併べていたので、
先方で	しても
今度は	喝し去った
吾輩も	思っていたから、
主人は	いかん
たき殻	見たように
むかしハンニバルが	超える
ハンニバルは	したそうだ
主人のごとく	煮
書生が	出て来て、
湯槽に	浮いている
何を	したって
所に	陣取って、
一たび流しを	出て
人類の	生息する
行動を	とらなければならんはずである
今主人が	踏んでいる
境に	ある
牢として	抜くべからざる
病気なら	矯正する
病気を	癒す
校長に	依頼して
免職に	なれば
路頭に	迷う
換言すると	なるのである
主人は	こんでいるけれど、
程度において	云う
それだから	していると
悸え	上がる
一飯君恩を	重んずと
気の毒だと	云う
ここにも	起ったのかと
なんなんとして	流しの
く様が	見える
声が	抜けるように
黒いのも	あるが
迷乱とを	形容するに
吾輩は	立ちすくんでいた
わーわーと	云う
身の丈を	見ると
顔から	生えているのか
紛々と	縺れ合う
後ろで	答えた
そちらに	そらすと、
蓋を	くぐって、
後ろに	ある
吾輩は	帰る
羽織を	脱ぎ、
もので、	食っている
吾輩が	上がるのを
上を	見ると、
うちに	焼いたのが
これは	知らんが、
肴は	説明しておいたが、
多病に	して
傍に	坐って、
装い方を	知らない
主人は	突っついたが、
正面に	控えたる
頭を	撲って
細君は	敲く
一	返やって
「何	返やったって
何ともないから、	じっとしていた
ためたるやは	了解し難い
これが	了解出来れば、
主人は	ならんので、
　細君は	なった
目的が	わかれば
主人は	厭になる
ためと	云えば
事それ自身を	する
事、	鳴くのは
事を	予期して
人格を	重んぜんと
猫を	馬鹿にしている
蛇蝎のごとく	嫌う
命令は	出でたのではない
智慧の	足りない
飯を	食えば
血が	出るに
それだから	打てば
お気の毒だが	合わない
格で	行くと
天麩羅を	食えば
月給を	もらえば
書物を	読めば
人が	出来てくる
同一に	見
腹の中で	凹ましておいて、
主人は	聞いた
問なので、	云わない
実を	云うと
変人で	ある
もので、	頑張っている
ものが	呼ぶと、
主人は	維持するつもりらしい
男だから	呈出するのも、
細君は	云わない
「おい」と	呼びかけた
　細君は	答えた
「どっちですか、	いいじゃありませんか」
これが	支配している
鳴き声は	日本語じゃあないじゃありませんか」
比較研究と	云うんだ」
利口だから、	関係しない
どっちだか	分ったんですか」
問題だから	分らんさ」と
隣に	ある
豚だな」	「ええ豚でござんす」
「酒を	飲もう」と
「今夜は	あがるのね
大分	赤くなっていらっしゃいますよ」
「飲むとも——御前世界で	知ってるか」
字を	知ってるか」
これで	なさいな、
字を	教えてやろうか」
「Archaiomelesidonophrunicherataと	云う
字なの、	すれば」
「意味は	しらん
綴りだけ	知ってるんだ
三分くらいに	かける」
　他人なら	云っている
今夜に	限って
平生なら	きめているのを、
二杯でも	赤くなる
一杯」と	出す
御よしに	なったら、
顔を	する
大町桂月が	飲めと
桂月も	逢っては
それが	飲めと
「馬鹿を	おっしゃい
梅月だって、	飲めなんて、
交際を	して、
妻子の	ある
桂月が	勧めなくっても
今から	始められちゃあ
「大変だと	云うならよ
それじゃ	して、
何でも	食ったようだ
吾輩は	頂戴した
　垣巡りと	云う
次郎ちゃんなどと	号する、
空地であって、	五六本併んでいる
椽側から	拝見すると、
枝は	密生しておらんので、
群鶴館なら	ある
名前に	取り囲んでいる
本来なら	行き尽してまた
南側に	利かしているごとく、
一尺くらいに	のびているから
小使が	来て
桐は	あるが
玉を	抱いて
ものは	あらず、
下駄屋は	いないかなと
吾輩は	いってはいけない
これぎりの	話しである
通行御免天下	晴れての
嘘を	つくようで
実を	云うと
過去へ	溯らんと
源因が	分からないと、
ここへ	引き越して来た
ところに	ある
向うに	住居する
問題を	決する
動物だか	分らない
梁上の君子などと	云って
警察の	厄介になるような
警察の	厄介にならない
落雲館と	称する
君子ばかりかと	思うと、
群鶴館に	下りざるごとく、
教師とか	号する
それが	わからんと
前	申すごとく、
それからは	棄てたようだ
主人は	打ち過ぎたのは、
諸君子は	来た
蚕食と	云う
彼等は	進んで来た
檜の	ある
君子でなければ	取れんはずである
大胆は	なった
結果ほど	恐しい
彼等は	逼るのみならず、
歌か	忘れてしまったが、
才芸に	嘆服して
ご案内であろうが、	ある
両者が	合して
残念であったろうが、	追い出したようだ
教育の	ある
歌を	うたう
高声に	する
談話だから	違って、
言葉は	属していたそうだが、
一般から	軽蔑せられたる
主人はまた	答えた
主人は	放してやった
彼は	談判したのである
主人は	思っていたそうだ
時代から	違う
今度は	する
功果は	顕著になってくる
主人は	合わんと、
校長も	送って、
職人が	来て
安心だと	こんだ
事で	変化する
　全体人に	からかうのは
令嬢に	からかって
心理を	解剖して
当人が	平気ですましていては
者が	いかん
この間	帰って来て
喧嘩を	見たのだそうだ
小犬が	廻転して
相手に	せんので、
ものが	成立しない
虎のように	強過ぎても
八つ裂きに	されてしまう
歯を	むき出して
理由は	ある
ひまつぶしに	適している
時には	見たくなる者だ
獄に	投ぜられた
世の中に	出来にくい
云うのも	つまり
先方を	怒らせるか、
事を	証明する
人を	殺したり、
一方には	示したくって、
傷けなければ	証拠だてられない
事実に	なって
者だ、	すまない
理窟の	わからない
柔術使が	見たくなるのと
奴に、	見たい、
その他にも	あるが、
一折も	持って
以上に	説く
教師を	もって、
通り	繋がれている
歯を	むき出しても、
教師は	縛られている
大丈夫、	辞職して
辞職を	する
鼻を	高くする
活気に	充ちた
条件が	備われば
それを	怒る
生徒が	からかったか、
風通しの	いい、
吾輩などは	出来る
校長は	せたのである
風通しが	出来ていても、
竹を	もって
功能を	つくしているに
主人が	上ったのを
論理には	ある
垣よりも	ある
魚をも	洩らすべき
彼は	出立している
生徒たる以上は	仮定したのである
彼は	論断したのである
穴を	潜り得る
限りは	出来まいが、
運動に	なって
　垣の	出来た
正面までは	しない
ひまが	いるから、
彼等が	しているか
空地に	遊弋している
窓から	眺める
中から	叱りつけるばかりである
木戸から	迂回して
ひなた	ぼっこを
後架で	している
木戸を	開いて、
事を	やる
不利を	云うと
不利を	看破したる
主人が	立て籠っていると
中には	述べる
出所を	する
内で	騒いでいるのか、あるいは
主人が	出懸けて来たら、
吾輩は	思っておらん、
——	まかり越したと
主人が	怒鳴りつければ
軍略を	用いられると
ステッキを	持って
窓から	のぞくと
裏へ	廻って
奔命に	疲れるとは
職業であるか、	分らないくらい
頂点に	達した
　事件は	出る者だ
逆上とは	読んで
どこへ	上るかが
何が	上るかが
伝説に	よると、
第一に	怒
これが	上ると
第二に	ある
これが	上ると
憂液、	陰気にする
血液、	する
その後	進むに従って
者が	あらば
分量は	極まっている
性分によって	あるが、
五合が	上ると、
交番焼打の	集って、
あれも	すると
逆上を	分配しなければならん
逆かさに	上った
その方には	ある
今は	なられたが
傷寒論にも	出ている
それでなければ	試みるが
衲僧は	すと
ために	考え出した
試みに	坐って
尻が	冷える、
方法を	用いて
損	あって
職業に	よると
中で	重んずるのは
汽船に	欠くべからざるような
異名で、	もってしない
インスピレーションと	称えている
彼等が	瞞着する
プレートーは	号したが、
インスピレーションと	云う
逆上であって	見れば
巣鴨へ	入院せずに
気違を	製造する
筆を	執って
神が	作ってくれん
逆上術もまた	悩ました
人は	食った
渋柿を	食えば
人は	飛び込んだ
中で	飲んだら
説に	よると
事が	出来なくて
最後に	したら
これは	応用したのである
酔っぱらいのように	捲いていると、
昔から	受けた
ところに	よれば
スチーヴンソンは	書いたそうだから、
人が	考え出したが、
ところでは	なっている
早晩	起し得る
充分だろうと	思うから、
前には	起る
大事件のみを	述べて、
逆上も	加えて、
逆上は	帰して、
逆上しても	謡われなくては
大小に	係らず
逆上であって、	しておきたい
主人は	おらん
逆上でも	自慢しなくては
落雲館に	群がる
通称を	称えて、
ダムダムだって	発射するのだから、
あまり	遠過ぎるのを
戦争にも	行って
一発を	送る
主人は	収縮せざるを得ない
煩悶の	極そこいらを
巧妙と	云うて
昔し	云う
男は	云う
学者作家に	云う
頭が	禿げるかと
学者作家は	極っている
頭は	禿げている
作家であるから	禿げなくては
彼は	おった
頭に	極ってるが——
頭を	あてて
木には	あたる、
時	舞っていたが、
相違ないが、	つけている
美味でも	する
鬼殻焼は	あるが
鷲も	持て余した
時	しめたと
上へ	落したなら、
あとから	舞い下りて
そうだそうだと	定めて、
ものだから、	遂げた
頭を、	落したのか、または
頭は	はおらん
六畳敷に	せよ
頭の	禿げて
生徒が	懸けて
敵が	継続するならば、
砲撃を	食えば
銅壺なら	きまっている
結果を	予想せんで、
午後、	見ていた
主人に	持って来いと
迷亭が	来たから、
牛肉で	勘弁するから
急にからだが	大きくなったので、
今まで	平伏していたと
吾輩は	収縮したのだから
主人が	出馬して
主人がぬ	すっとうと怒鳴る
うち、	逃げて行く
主人は	成功したので、
敵に	追いつく
深入りを	すれば
前	申す
勢に	乗じてぬ
今一歩で	出馬して来た
両人は	談判している
ものが、	侵入するのですか」
ボールが	飛んだ
　竜	騰
壮ん	なるは
吾輩が	返ったような
小事件と	云うのは
小事件を	記述した
　主人は	思案している
敵に対して	講じているのだろう
落雲館は	見えて、
一室で、	しているのが
音声で	述べ立てているのを
公徳と	云う
公徳を	重んぜぬ
日本に	在っては、
公徳と	申すと
恕と	申すのが
人間であるから	見たくなる
私が	勉強している
自分が	吟じたら
云う訳だから	守って、
　主人は	謹聴していたが、
意味を	説明する
皮肉家が	よんだら
智慧の	発達した
主人は	笑ったのである
教師たる者が	かように
うち	禿げずに
今日にも	考える
時間が	来たと
課業も	終った
今まで	密封された
勢と	云う
窓から、	飛び出した
陣立てから	説明する
戦争に	ある
人は	考えている
野蛮人に	なると、
ものと	心得るのは
太古	在ってこそ、
騒動が	持ち上がっても
一として	数えても
左氏が	記するに
ものは	なっている
吾輩が	話すのも
いかんと	見てあると、
これは	見える
「降参しねえか」	「しねえしねえ」
縦隊を	離れて
臥竜窟に	面して
これと	相対して
かくのごとく	向い合っているのが
説に	よると
何物たるを	解せぬ
ところに	よれば
事ばかり	考え出す
米国人は	心得ているのだろう
遊戯でも	かように
眼を	もって
云いようで	なる
名を	借りて
今	記述する
ダムダム弾を	発射する
直線に	布かれ
ダムダム弾は	分らない
ものを	くるんで
前	申す
たまには	流れてしまう
頭を	潰すくらいは
砲手は	事足るのだが、
擂粉木が	云う
これでも	利かねえかと
降参かと	云う
弾丸は	ころがり込む
これが	ころがり込まなければ
ダムダム弾は	製造するが
ポンと	鳴る
彼等は	拾ってくる
骨も	折れないが、
平生なら	避ける
目的が	あるのではない、
邸内に	降らせる
邸内に	這入る
うちで	騒動すれば
兜を	脱いで
あまり頭が	禿げて来なければならん
今しも	打ち出した
運動律第一に	あらざれば、
律のみによって	支配せらるるならば
幸に	して
第二則に	す
これは	わかり兼ねるが、
案のごとく	覚しく、
すべて	出す
目的が	達せられん
ダムダム弾は	貴重かも知れないが、
時のごときは	判然している
竹垣に	中った
場所も	分っている、
定義に	よると
いろはに	ほへとは
下には	いる
垣根に	知れぬ
毎日	抛り込む
一眼	見れば
それを	かくのごとく
消極的なる	主人といえども
うちから	きいて
猛然として	出した
驀然として	捕った
主人に	しては
髯の	生えている
沢山だと	思ったのだろう
詫び入るのを	引っ張って
ここに	一言する
時	事面倒になる
一年生か	越した
主人が	つらまえて
敵は	忘れたばかりである
主人に	あれば
逆上は	与える者である
見境いの	ある
主人のごとく	出来ないのである
命令によって	勤めたる
敵軍は	行かない
我も	乱れ
数は	並んだ
大抵は	つけておらん
腕を	まくって、
洗いざらしを	乗せているのが
帆木綿に	とって
いずれも	見えて、
中学などへ	入れて
漁師か	したら
彼等は	申し合せたごとく、
彼等は	発しない
主人も	開かない
間双方共	睨め
主人は	尋問した
奥歯で	囓み潰した
人間が	怒った
生徒が	侵入する
通り	ついている
生徒なら	侵入した」
「ボールが	飛び込んだ
ボールを	飛び込ました」
「以後	注意しますから、
何者か	わからん
　主人は	云う
御三が	あけて、
「落雲館へ	行って
「誰を	連れて参ります」
　下女は	答えたが、
主人は	しているつもりである
逆上的敏腕を	振っているつもりである
ところ	笑っている
「誰でも	構わんから
校長と	云う
幹事でも	云っているのに
「誰も	おりませんでしたら
「馬鹿を	云え
小使などに	分かる
ここに	至って
主意は	飲み込めんのである
小使でも	引張って来は
座に	就くを
「ただ今邸内に	乱入致して……」と
平気で	ならんでいる
ないように	加えておきますが……
先生に	向っては
隅に	かたまって
「丸が	這入るのも
学校の	隣りに
垣を	乗り越えるにしても知れないように、
「ごもっともで、	いかんぜ
ボールが	飛んだら
世話ばかり	やけて
ものでありますから、	参りかねるので
これを	許すと
代り向後は	取らせますから」
事が	分かれば
表から	きて
生徒は	願います
恐縮です」と	する
先生は	引き上げる
大事件は	告げた
大事件かと	笑うなら、
吾輩は	写したので、
尻が	切れて
主人が	なるのもまた
小供を	するのは
大町桂月は	云うている
吾輩は	了ったから、
いい加減と	思う
裏に	包含するは
柳宗元は	致したい
述べるのは、	号するのだけれど、
是非しまいまで	精読しなくては
大事件の	あった
横町へ	曲がろうと
金田君は	出逢ったのである
近来は	珍らしくなくなったから、
久々だから	得ておこう
決心して	佇立しておらるる
先方が	話しているのが
探偵さえ	付けて
公平と	云う
吾輩は	聞いたのである
方で	飛び込んで来たのである
「只今御宅へ	伺いました
こないだから、	逢いたいと
君でないと	出来ない
「私に	出来る
「何なら、	伺いましょう
——	頼もうか」
沙弥とか	云うじゃないか」
沙弥が	どうかしましたか」
剛慢ですから……	考えているといいのですけれども、
金に	さげん、
こないだから	大分弱らしているんだが、
損得と	云う
昔から	云う
手を	見るんだがね
生徒に	やらした」
利目が	ございましたか」
「これにゃあ、	大分困ったようだ
落城するに	いる」
大分弱ったようだが、	云うのさ」
なに訳は	ありません
容子は	して
頑固なのが	意気銷沈している
それじゃ	御寄り、
御免	蒙ります」
魂胆だ、	逆上させるのも、
地球が	廻転するのは
功力を	心得て、
太陽が	出て、
家に	なわれて
主人も	なるまい
冥頑不霊で	押し通す
主人の	貴重する
彼は	知らん
模様で	なる
愚図愚図して	はおられん、
鈴木君を	すり抜けて
今日は	面白そうにしている
悪いようだぜ、	どうかしやせんか」
用心せんと	いかんよ
安眠が	出来る
「何か	ありゃしないか、
世の中は	暮すのが
君は	陰気過ぎるようだ」
事が	あるぜ」
「冗談	云っちゃいけない
笑う門には	来るさ」
「昔し	云う
それが	どうしたのさ」
男が	笑い過ぎて
しだって	ある
驢馬が	食うのを
笑いが	とまらない
笑い死にに	死んだんだあね」
鈴木君が	研究していると、
ボールが	這入りましたから、
　下女は	答える
書生は	廻る
鈴木は	聞く
書生が	投げ込んだんだ」
　裏に	いるのかい」
「落雲館と	云う
碌々勉強も	出来やしない
文部大臣なら	命じてやる」
「ハハハ大分	怒ったね
何か	障る
ないのって、	障り続けだ」
癪に	障るなら
「誰が	越す
「僕に	怒ったって
小供だあね、	打ちゃっておけばいいさ」
昨日は	談判してやった」
時また	する
表から	来るように
ーか、	分った」
「何が	分ったんだい」
ボールを	取りに
「今日は	返目だ」
人間は	転がって行くのが
ものは	行けるが
自分の	思うように
金の	ある
神経ばかり	痛めて、
人を	使いさえすれば
多勢に	叶わないのは
立て通すつもりで	いる
「ご免	なさい
今	飛びましたから、
鈴木君は	笑っている
「失敬な」と	真赤になっている
鈴木君は	果したと
逆上家が	名乗る
逆上は	達したのであるが、
変なのか	あるが、
隣に	構えたって、
変であって	見れば
薬でも	飲んで
甘木先生を	迎えて
愚か、	云わなければならん
甘木先生は	云う
医者は	極まってる
吾輩は	ならん
事が	ある
甘木先生も	驚ろいたが、
穏かに	答えた
いくら薬を	飲んでも
事を	聞いて
急には、	利きます
今でも	大分よくなっています」
肝癪が	起りますか」
夢にまで	起します」
「運動でも、	なさったらいいでしょう」
「運動すると、	起ります」
甘木先生も	あきれ返った
一つ	拝見しましょうか」と
診察を	終るのを
せんだって	かいてある
療法も	あります」
「今でも	やるんですか」
「催眠術を	かけるのは
「なに訳は	ありません、
「先生も	やるんですか」
一つ	やって
誰でも	懸らなければならん
あなたさえ	見ましょう」
一つ	懸けて下さい
私も	思ったんです
きりで	覚めないと
それじゃ	やりましょう」
　相談は	一決して、
吾輩は	拝見する
先生は	かけ始めた
方法を	見ていると、
先生は	聞いた
主人は	答える
先生は	云う
主人も	なった
摩擦法はまた	繰り返される
最後に	云われた
可哀想に	潰れてしまった
開かんのですか」	あきません」
吾輩は	思い込んでしまった
先生は	なさい
主人は	開いていた
主人は	云う
甘木先生も	帰る
来たのが	来た
家に	しては
珍客が	来た
吾輩が	記述するのは
吾輩は	描きつつある
余瀾を	描くに
名前か	知らん、
美学者たるに対して、	呼ぶつもりである
哲学者と	云うと、
同窓と	見えて
「うん迷亭か、	ふわふわしているね
せんだって	連れて
鈴木か、——	くるのかい、
金時計は	下げられるたちだ
円滑円滑と	云うが、
藁で	括った
　主人は	笑った
中に	埋ってるさ」
人間と	同じようにしているばかりさ
事に	羨む
不愉快で、	たまらん
どっちを	向いても
不平が	起ったら
いろいろだから、	勧めたって、
箸は	持たんと
仕立屋で	こしらえれば、
方で、	合わしてくれるから
世に	合うように
出来損こなったら	合わせるまで
僕なんか、	合いそうにないぜ、
背広を	きると
喧嘩を	したり、
自殺は	せず、
毎日喧嘩ばかり	しているさ
相手が	出て来なくっても
「それが	いやになった」
「そんなら	よすさ」
心が	なる
　主人は	述べ立てた
哲学者先生は	聞いていたが、
きしゃごが	云ったって
生徒なんか	構う
なに	なる
談判しても、	しても
僕は	思う
やり方は	流行るが、
第一積極的と	云ったって
いつまで	やり通したって、
向に	あるだろう
あれが	なるから
下宿屋が	邪魔になる
下宿屋を	退去させると、
どこまで	行っても
ナポレオンでも、	満足した
人が	喰わん、
事が	ある
いかんから、	する
いかんから、また	したくなる
川が	かける、
交通が	云って
永久満足が	出来る
人間だもの	通す
文明は	進取的かも知れないが
文明は	求めるのじゃない
大に	違う
欧洲人のように	改良して
ままで	動かす
区別も	観るのも
——山が	あって
山を	越さなくとも
それだから	見給え
儒家でも	つらまえる
意のごとく	なる
心さえ	自由にする
ぴん助なんか	云ったら
人に	斬り付けられた
修業が	つんで
僕なんか、	分らないが、
君が	働いたって、
権力で	閉鎖するか、または
積極的に	出ると
多勢に	なる
換言すると	下げなければならんと
衆を	恐れ入らなければならんと
貧乏人で	云うのが
だい	分ったかい」
　主人は	分ったとも、
珍客が	帰った
藤さんは	教えたのである
甘木先生は	助言したのである
珍客は	説法したのである
主人が	択ぶかは
このままでは	極まっている
あばたも	流行った
増殖と	反比例して
現今地球上に	有して
人間には	ある
吾輩は	考える
因果で	して
昔なら	知らんが、
うち	取り払ったら
際、	やまずと
意を	もって
流俗に	抗する
ときに	云う
宗伯老が	亡くなられて
養子が	死んで
かごに	乗って
真似を	して
はたから	見ると
紀念を	刻して
彼は	与えつつある
人間が	存在しなくなった
点から	見ると
主人は	種え付けたのではない
これでも	したのである
不幸にして	えたと
ものだから、	引き掻いたのだそうだ
噴火山が	破裂して
主人は	云っている
観音様で	見た
誰も	いないのが
功徳に	なっても
かごと	違って、
今だに	残っている
歴然が	かかると
何人あばたに	出逢って、
彼は	確信している
せんだって	ある
友人が	考えた
教育の	ある
意見によって	思い留った
忠告を	容れて
それより	入れて
禅家などでは	見せるなどと
　書斎は	据えてある
机では	わかるまい
三尺八寸高さ	かなうと
建具屋に	談判して
机を	新調して、また
出来心で、	見出すごとく、
奇抜だけで	役に立たないのが
吾輩は	ある
以来	転用されないようである
前には	あって、
中から	見える
上に	かしこまっているのが
鼠色に	よごれた
帯へ	じゃれ付いて、
滅多に	寄り付くべき
考えているのか	あるのにと
吾輩は	思わず、
上で	動いている
主人は	振り舞わしているのであろう
鏡と	云えば
吾輩は	見たのだ
鏡と	云うのは
主人が	洗った
男が	分けるのかと
吾輩が	参ってから
長さに	して、
これも	徴候かも知れない
分け方は	調和しないと
ハイカラなのは	さておいて、
あばたは	食い込んでいるのだそうだ
人のように	すると、
枯野に	放ったような
髪さえ	長くしておけば
事なら	生やして、
髪を	長くする
　風呂場に	あるべき
ために	持って来たのだろう
必要な	道具かも知れない
昔し	訪うたら、
何を	こしらえなさると
学者は	驚ろいて、
大分物騒になって来たなと、	窺っている
　かくとも	知らぬ
深夜蝋燭を	立てて、
令嬢から	押し付けられた
一生懸命に	見つめている
主人は	云った
様子から	云うと
これが	進むと、
吾身が	しい
苦労人でないと	出来ない
ここまで	来たら
顔だ」と	云った
頬っ	叩いて
何の	まじないだか
時	した
顔を	紹介するが、
この間	持って来てくれたが、
残酷なので	両方共紛失している
河豚の	ふくれるのは
御三が	聞いたら
こんどは	見る
大変	目立つ
まともに	向いてる
手を	伸して、
ものだ」と	悟ったような
鏡を	した
根を	して
容貌が	出来上ったと
顔だろう」と	引き寄せる
人指しゆびで	撫でて、
上へ	浮き出した
芸を	やる
主人は	やって退けた
あばたを	研究しているのか、
事だから	見える
善意を	もって
すべて	云う
天地と	云い
自己を	措いて
人間が	飛び出す
自己以外に	してくれる
それだから	なった
お蔭で	分るくらいなら、
朝に	聴き、
人の	説く
場合において	優るかも知れない
影を	追えば
本体を	離れぬ
意味で	ひねくっているなら
エピクテタスなどを	して
念を	もって
昔から	もって
御医者さんが	発明して
自分に	尽きかけた
人で	暮らされた
そこへ	気がついた
自分で	承知している
前には	恐れ入らねばならぬ
当人は	なる
鏡を	見て
顔に	印せられる
醜いのを	自認するのは
これも	やり込められた
様子を	うかがっていると、
慢性結膜炎だ」と	言いながら、
痒いのだろうけれども、	たまるまい
うちに	腐爛するに
眼を	開いて
形容詞を	用いると
精神が	一貫しているごとく、
これは	あるそうだが、
吾輩ひそかに	思うに
眼玉が	かように
煙	たって
心は	あいているから、
今度は	ねじり始めた
元来から	生えている
個人主義が	流行る
功果は	ととのうようになって来た
今までは	おったのであるが、
度に	応じて
アムビションは	ある
横向であろうとも、	引っ張り上げる
難儀であろう、	ある
否でも	扱き上げる
門外漢から	見ると
教育者が	撓めて、
　主人が	調練していると、
右手に	つかみ、
尾に	命じたような
鏡を	おろして
第一信は	並べてある
拝啓愈	御多祥奉賀候回顧すれば
主人は	している
義捐などは	しそうにない
せんだって	出してから、
義捐と	ある
泥棒に	あったのではあるまいし、
関せず、	罹ったかの
主人から	云えば
自分を	歓迎した
主人は	云った
候陳れば	起因すと
